"BASE_CURRENCY_ID","BRANCH_ID","BRN","DATE_LAST_MODIFIED","EDITION","FEDERAL_NUMBER","FISCAL_CALENDAR_ID","FULL_NAME","ISINACTIVE","IS_ELIMINATION","IS_MOSS","LEGAL_ENTITY_ACCOUNT_CODE","LEGAL_NAME","MOSS_NEXUS_ID","NAME","PARENT_ID","PURCHASEORDERAMOUNT","PURCHASEORDERQUANTITY","PURCHASEORDERQUANTITYDIFF","RECEIPTAMOUNT","RECEIPTQUANTITY","RECEIPTQUANTITYDIFF","STATE_TAX_NUMBER","SUBSIDIARY_EXTID","SUBSIDIARY_ID","TRAN_NUM_PREFIX","UEN","URL"
"1.0",,,"2015-08-19 00:44:17","US",,"2.0","Scholastic Inc.","No","No","No","US00","Scholastic Inc (QA/UAT)",,"Scholastic Inc.",,,,,,,,,,"1.0","US00",,"www.scholastic.com"
"5.0",,,"2015-08-19 00:50:30","XX","000011403264","2.0","Scholastic Inc. : Scholastic Asia : Grolier Malaysia","No","No","No","MY00","5000 Kuala Lumpur",,"Grolier Malaysia","2.0",,,,,,,,,"3.0","MY00",,"www.scholastic.com"
"6.0",,,"2015-08-19 00:54:18","XX","201113564G","2.0","Scholastic Inc. : Scholastic Asia : Scholastic Education International (Singapore) Pte Ltd","No","No","No","SG00","Scholastic Education International (Singapore) Pte Ltd",,"Scholastic Education International (Singapore) Pte Ltd","2.0",,,,,,,,,"4.0","SG00",,"www.scholastic.com"
"6.0",,,"2015-08-19 00:51:46","XX","S66FC1796D","2.0","Scholastic Inc. : Scholastic Asia : Grolier Singapore","No","No","No","SG01","Grolier International Inc.,  Singapore Branch",,"Grolier Singapore","2.0",,,,,,,,,"5.0","SG01",,"www.scholastic.com"
"7.0",,,"2015-08-19 00:53:25","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Thailand","No","No","No","TH00","Grolier International, Inc., Thailand Branch",,"Grolier Thailand","2.0",,,,,,,,,"6.0","TH00",,
"8.0",,,"2015-08-19 00:50:06","XX","013075262021000","2.0","Scholastic Inc. : Scholastic Asia : Grolier Indonesia","No","No","No","ID00","P.T. Widyadara",,"Grolier Indonesia","2.0",,,,,,,,,"7.0","ID00",,
"9.0",,,"2015-08-19 04:57:12","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Philippines","No","No","No","PH00","Grolier International, Inc., Philippine Branch",,"Grolier Philippines","2.0",,,,,,,,,"8.0","PH00",,
"10.0",,,"2015-08-19 00:46:24","XX","07510385718","2.0","Scholastic Inc. : Scholastic Asia : Grolier India","No","No","No","IN01","Grolier International Private Limited",,"Grolier India","2.0",,,,,,,,,"9.0","IN01",,
"11.0",,,"2015-08-19 00:52:58","XX","03307638","2.0","Scholastic Inc. : Scholastic Asia : Grolier Taiwan","No","No","No","TW00","Grolier International, Inc., Taiwan Branch",,"Grolier Taiwan","2.0",,,,,,,,,"10.0","TW",,
"12.0",,,"2015-08-19 00:54:02","XX","21542679","2.0","Scholastic Inc. : Scholastic Asia : Hong Kong Home Office","No","No","No","HK01","Hong Kong Home Office",,"Hong Kong Home Office","2.0",,,,,,,,,"13.0","HK01",,
"9.0",,,"2015-08-19 00:51:22","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Philippines - Finance","No","No","No","PH01",,,"Grolier Philippines - Finance","2.0",,,,,,,,,"14.0","PH01",,
"12.0",,,"2015-08-19 00:54:35","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Scholastic Hong Kong Limited","No","No","No","HK00",,,"Scholastic Hong Kong Limited","2.0",,,,,,,,,"25.0","SHK",,
"13.0",,,"2015-07-06 08:04:06","XX","11-306-810","3.0","Scholastic Inc. : Scholastic New Zealand Limited","No","No","No","NZ00","Scholastic New Zealand Limited",,"Scholastic New Zealand Limited","1.0",,,,,,,,,"27.0",,,"www.scholastic.co.nz"
"12.0",,,"2015-01-12 06:18:27","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Scholastic Hong Kong Limited : Elimination Scholastic Hong Kong Limited","No","Yes","No",,"Elimination Scholastic Hong Kong Limited",,"Elimination Scholastic Hong Kong Limited","25.0",,,,,,,,,"26.0","E-SHK",,
"10.0",,,"2015-08-19 00:49:34","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier India : Elimination Grolier India","No","Yes","No",,,,"Elimination Grolier India","9.0",,,,,,,,,"15.0","E-IN",,
"11.0",,,"2014-11-12 16:07:49","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Taiwan : Elimination Grolier Taiwan","No","Yes","No",,,,"Elimination Grolier Taiwan","10.0",,,,,,,,,"21.0","E-TW",,
"9.0",,,"2014-11-12 16:00:59","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Philippines : Elimination Grolier Philippines","No","Yes","No",,,,"Elimination Grolier Philippines","8.0",,,,,,,,,"18.0","E-PH",,
"6.0",,,"2014-11-12 16:12:51","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Scholastic Education International (Singapore) Pte Ltd : Elimination SEIS","No","Yes","No",,,,"Elimination SEIS","4.0",,,,,,,,,"23.0","E-SE",,
"1.0",,,"2015-08-19 00:45:59","US",,"2.0","Scholastic Inc. : Scholastic Asia","No","No","No",,"Scholastic Asia",,"Scholastic Asia","1.0",,,,,,,,,"2.0","SA",,
"12.0",,,"2014-11-26 12:11:08","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Hong Kong Home Office : Elimination Hong Kong Home Office","No","Yes","No",,,,"Elimination Hong Kong Home Office","13.0",,,,,,,,,"24.0","E-HK01",,
"1.0",,,"2014-05-26 04:30:10","US",,"2.0","Scholastic Inc. : Scholastic Asia : Elimination Scholastic Asia","No","Yes","No",,,,"Elimination Scholastic Asia","2.0",,,,,,,,,"12.0","E-SA",,
"9.0",,,"2014-11-12 16:03:17","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Philippines - Finance : Elimination Grolier Philippines - Finance","No","Yes","No",,,,"Elimination Grolier Philippines - Finance","14.0",,,,,,,,,"19.0","E-PHF",,
"5.0",,,"2014-11-12 15:59:12","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Malaysia : Elimination Grolier Malaysia","No","Yes","No",,,,"Elimination Grolier Malaysia","3.0",,,,,,,,,"17.0","E-MY",,
"8.0",,,"2014-11-12 15:53:50","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Indonesia : Elimination Grolier Indonesia","No","Yes","No",,,,"Elimination Grolier Indonesia","7.0",,,,,,,,,"16.0","E-ID",,
"7.0",,,"2014-11-12 16:09:43","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Thailand : Elimination Grolier Thailand","No","Yes","No",,,,"Elimination Grolier Thailand","6.0",,,,,,,,,"22.0","E-TH",,
"6.0",,,"2014-11-12 16:06:23","XX",,"2.0","Scholastic Inc. : Scholastic Asia : Grolier Singapore : Elimination Grolier Singapore","No","Yes","No",,,,"Elimination Grolier Singapore","5.0",,,,,,,,,"20.0","E-SG",,
"1.0",,,"2014-05-26 04:29:41","US",,"2.0","Scholastic Inc. : Elimination Scholastic Inc.","No","Yes","No",,,,"Elimination Scholastic Inc.","1.0",,,,,,,,,"11.0","E-SI",,